"","customer_id","customer_age","customer_sex","customer_number_of_dependents","customer_education","customer_civil_status","customer_salary_range","customer_relationship_length","customer_available_credit_limit","credit_card_classification","total_products","period_inactive","contacts_in_last_year","credit_card_debt_balance","remaining_credit_limit","transaction_amount_ratio","total_transaction_amount","total_transaction_count","transaction_count_ratio","average_utilization","account_status","date1","class"
"40",892679,50,NA,2,"Unknown","Single","120K and more",38,"2123","Blue",4,4,2,995,"1128","0.626",4516,78,"0.625","0.469","open","2022-02-02",NA
"41",328216,57,"F",4,"Uneducated","Single","below 40K",51,"3545","Blue",5,3,3,1446,"2099","0.638",3691,69,"0.917","0.408","open","2022-02-02",1
"42",380498,58,"F",1,"Doctorate","Single","40-60K",47,"16677","Silver",5,2,4,1590,"15087","0.885",1410,37,"0.609","0.095","open","2022-02-02",1
"43",567837,48,"F",2,"High School","Single","below 40K",36,"5483","Blue",3,3,3,535,"4948","0.681",2051,49,"0.633","0.098","open","2022-02-02",1
"44",487071,50,"F",1,"Uneducated","Married","below 40K",43,"1438.3","Blue",6,3,4,0,"1438.3","1.068",1439,41,"1.05","0","open","2022-02-02",1
"45",456242,NA,NA,0,"Unknown","Married","40-60K",55,"2895","Blue",6,3,2,2517,"378","0.322",1541,37,"0.609","0.869","open","2022-02-02",NA
"46",628749,49,"M",3,"Graduate","Single","120K and more",29,"18284","Blue",5,2,2,1144,"17140","0.767",4846,92,"0.736","0.063","open","2022-02-02",0
"47",288020,35,"M",1,"Graduate","Single","60-80K",25,"14365","Blue",6,1,2,0,"14365","0.61",2290,62,"0.632","0","open","2022-02-02",0
"48",460046,50,NA,1,"High School","Single","Unknown",42,"10057","Blue",5,0,4,0,"10057","0.792",2383,42,"2.24","0","closed","2022-02-02",NA
"49",570494,52,NA,2,"Graduate","Married","Unknown",36,"5905","Blue",5,3,1,2248,"3657","0.728",4042,80,"0.86","0.381","open","2022-02-02",NA
"50",811773,57,"M",3,"College","Married","80-120K",45,"14270","Blue",6,3,4,0,"14270","0.398",1222,37,"0.423","0","open","2022-02-02",0
"51",420135,53,"M",1,"Graduate","Married","80-120K",36,"11329","Blue",5,2,2,1180,"10149","0.648",1213,33,"0.571","0.104","open","2022-02-02",0
"52",591045,48,"M",1,"Uneducated","Married","60-80K",42,"4429","Blue",6,1,1,883,"3546","0.688",4386,63,"0.537","0.199","open","2022-02-02",0
"53",655066,49,"M",4,"Uneducated","Unknown","60-80K",44,"12375","Blue",1,3,2,2263,"10112","1.044",14500,106,"0.582","0.183","open","2022-02-02",0
"54",459197,35,NA,3,"Graduate","Single","below 40K",27,"2664","Blue",3,3,3,0,"2664","0.731",27342,74,"0.574","0","open","2022-02-02",NA
"55",589933,38,"F",2,"High School","Married","Unknown",27,"14831","Blue",5,2,1,1302,"13529","0.916",4467,73,"0.698","0.088","open","2022-02-02",1
"56",410299,36,"M",3,"High School","Single","80-120K",28,"1438.3","Blue",5,3,2,0,"1438.3","1.041",22428,68,"0.838","0","open","2022-02-02",0
"57",507100,62,"F",1,"Uneducated","Unknown","below 40K",36,"12590","Silver",6,1,3,931,"11659","1.068",4182,78,"0.696","0.074","open","2022-02-02",1
"58",579734,NA,"M",3,"Graduate","Married","40-60K",36,"2205","Blue",3,3,3,1337,"868","0.65",1591,38,"0.727","0.606","open","2022-02-02",0
"59",854273,64,"M",1,"Uneducated","Single","Unknown",51,"2571","Blue",6,3,1,1210,"1361","0.972",3647,59,"0.686","0.471","open","2022-02-02",0
"60",224195,31,"M",0,"Graduate","Married","40-60K",21,"2158","Blue",3,3,0,1729,"429","1.1",1718,42,"0.448","0.801","open","2022-02-02",0
"61",460434,43,"M",3,"Graduate","Married",NA,33,"3498","Blue",4,1,2,0,"3498","1.109",2512,56,"0.867","0","open","2022-02-02",0
"62",878178,64,"F",0,"Graduate","Single","below 40K",56,"2294","Blue",4,2,3,1582,"712","0.775",3951,79,"0.881","0.69","open","2022-02-02",1
"63",374329,38,"F",3,"High School","Unknown","below 40K",36,"2989","Blue",5,3,3,2387,"602","0.437",2143,67,"0.558","0.799","closed","2022-02-02",1
"64",573583,40,"M",2,"Unknown","Single","60-80K",27,"12283","Blue",6,2,3,0,"12283","0.413",1993,41,"0.323","0","closed","2022-02-02",0
"65",665937,43,"M",4,"Graduate","Divorced","80-120K",36,"19188","Blue",5,1,1,1622,"17566","0.75",4282,52,"0.926","0.085","open","2022-02-02",0
"66",397875,41,"M",3,"Unknown","Married","60-80K",35,"33889","Silver",2,3,2,1203,"32686","0.944",14954,112,"3.115","0.035","open","2022-02-02",0
"67",766830,62,"F",0,"Graduate","Single","Unknown",45,"10503","Blue",2,2,3,0,"10503","0.886",4755,88,"0.725","0","open","2022-02-02",1
"68",914593,35,"M",1,"Graduate","Married","40-60K",25,"5801","Blue",5,4,4,1176,"4625","1.12",2987,52,"0.857","0.203","open","2022-02-02",0
"69",191218,56,"M",3,"Graduate","Married","80-120K",50,"8022","Blue",3,3,3,1372,"6650","0.896",1794,31,"1.385","0.171","open","2022-02-02",0
"70",228417,36,"F",1,"High School","Single","below 40K",36,"5257","Blue",5,3,4,1572,"3685","0.732",2822,73,"0.659","0.299","open","2022-02-02",1
"71",813807,61,"F",1,"Uneducated","Married","below 40K",36,"6859","Blue",3,2,4,2489,"4370","0.65",1617,26,"1","0.363","open","2022-02-02",1
"72",743937,33,"F",3,"Unknown","Married","40-60K",22,"1438.3","Blue",2,3,2,0,"1438.3","0.761",4528,86,"0.686","0","open","2022-02-02",1
"73",135791,46,"M",2,"Graduate","Unknown","120K and more",34,"24431","Blue",1,3,2,892,"23539","0.417",3457,66,"2.855","0.037","open","2022-02-02",0
"74",730297,50,"M",0,"Uneducated","Divorced","60-80K",39,"9474","Blue",6,3,3,1021,"8453","0.557",3240,54,"0.588","0.108","open","2022-02-02",0
"75",535260,55,"M",3,"Unknown","Married","120K and more",49,"9926","Blue",3,2,4,2018,"7908","0.618",2235,57,"0.357","0.203","open","2022-02-02",0
"76",216205,37,"F",3,"Graduate","Married","Unknown",24,"10584","Blue",3,2,2,1550,"9034","0.692",10969,33,"0.32","0.146","open","2022-02-02",1
"77",652570,41,NA,0,"High School","Single","80-120K",31,"33472","Blue",3,5,2,2517,"30955","0.633",4719,70,"0.667","0.075","open","2022-02-02",NA
"78",298705,51,"F",3,"High School","Single","Unknown",39,"34516","Gold",1,1,2,1873,"32643","0.629",7703,104,"0.677","0.054","open","2022-02-02",1
"79",632556,55,"M",3,"Graduate","Married",NA,49,"5668","Blue",3,1,4,2517,"3151","0.704",3382,56,"0.931","0.444","open","2022-02-02",0
"80",890354,42,"M",4,"Unknown","Single","40-60K",33,"5306","Blue",1,3,1,2410,"2896","0.738",7437,94,"3.545","0.454","open","2022-02-02",0
"81",556782,55,"M",4,"High School","Single","60-80K",51,"2001","Blue",4,1,4,1553,"448","0.482",1910,51,"0.7","0.776","open","2022-02-02",0
"82",591549,30,"F",1,"Graduate","Single","below 40K",20,"5030","Blue",5,2,3,1327,"3703","0.803",2523,71,"0.775","0.264","open","2022-02-02",1
"83",571467,49,"F",1,"Uneducated","Unknown","below 40K",38,"3343","Blue",6,2,1,1820,"1523","0.727",4507,63,"0.703","0.544","open","2022-02-02",1
"84",646011,48,"F",2,"Unknown","Married","below 40K",36,"7151","Blue",5,1,3,800,"6351","0.986",854,22,"0.375","0.112","closed","2022-02-02",1
"85",105729,26,"F",1,"Unknown","Single",NA,14,"5645","Blue",4,2,4,2324,"3321","0.655",2482,57,"0.727","0.412","open","2022-02-02",1
"86",867316,NA,"F",2,"Graduate","Unknown","Unknown",34,"19373","Blue",5,2,2,1142,"18231","0.655",1792,48,"0.455","0.059","open","2022-02-02",1
"87",719825,57,"M",2,"Uneducated","Single","80-120K",51,"30622","Blue",6,2,4,0,"30622","1.329",3600,66,"0.784","0","open","2022-02-02",0
"88",587379,26,"F",0,"Post-Graduate","Single","below 40K",15,"1442","Blue",3,2,3,1428,"14","0.496",1134,26,"0.238","0.99","closed","2022-02-02",1
"89",835118,52,"F",3,"Post-Graduate","Single","below 40K",47,"2972","Blue",3,3,2,0,"2972","1.035",6454,25,"0.562","0","closed","2022-02-02",1
"90",974098,57,"F",2,"Uneducated","Married",NA,47,"3136","Blue",3,2,2,2138,"998","0.699",4930,80,"0.739","0.682","open","2022-02-02",1
"91",391912,54,"F",3,"Unknown","Single","below 40K",36,"1857","Blue",2,3,3,0,"1857","0.488",2464,57,"0.839","0","closed","2022-02-02",1
"92",438742,46,"M",2,"Graduate","Divorced","60-80K",41,"7064","Blue",2,2,3,1234,"5830","0.955",13791,103,"0.585","0.175","open","2022-02-02",0
"93",468856,55,"M",3,"High School","Married","60-80K",50,"5282","Blue",2,1,2,1144,"4138","0.8",13513,115,"0.597","0.217","open","2022-02-02",0
"94",276233,52,"F",3,"High School","Married","Unknown",38,"3505","Blue",2,1,2,2517,"988","0.612",5034,79,"0.681","0.718","open","2022-02-02",1
"95",481981,54,"F",1,"Unknown","Single","Unknown",36,"3723","Blue",1,3,3,1728,"1995","0.595",59878,99,"0.678","0.464","open","2022-02-02",1
"96",522018,59,"M",0,"High School","Married","below 40K",47,"1479","Blue",6,3,4,787,"692","0.865",2139,70,"0.556","0.532","open","2022-02-02",0
"97",291988,47,NA,3,"Graduate","Married","80-120K",41,"11997","Blue",6,1,4,1424,"10573","0.749",4125,80,"0.86","0.119","open","2022-02-02",NA
"98",578698,NA,"M",2,"College","Married","120K and more",43,"5657","Blue",3,2,3,1719,"3938","0.606",2028,55,"0.667","0.304","open","2022-02-02",0
"99",173008,56,"F",4,"Graduate","Married","below 40K",36,"2796","Blue",3,5,2,0,"2796","0.884",4536,81,"0.723","0","open","2022-02-02",1
"100",971299,47,"M",4,"Unknown","Married","60-80K",36,"10585","Blue",4,5,2,1749,"8836","0.655",18484,108,"0.588","0.165","open","2022-02-02",0
"101",759700,55,"F",2,"High School","Married","below 40K",45,"3187","Blue",5,2,0,2517,"670","1.144",1627,38,"0.652","0.79","open","2022-02-02",1
"102",727083,47,"F",5,"Uneducated","Single","Unknown",40,"3502","Blue",5,4,5,0,"3502","0.531",1895,42,"0.4","0","closed","2022-02-02",1
"103",443393,52,"M",3,"Graduate","Married","120K and more",47,"11086","Blue",5,3,3,2207,"8879","0.869",1523,40,"1.105","0.199","open","2022-02-02",0
"104",276859,49,"F",2,"High School","Married","Unknown",36,"15704","Blue",6,2,3,0,"15704","0.924",4253,91,"0.685","0","open","2022-02-02",1
"105",366101,57,NA,1,"Graduate","Married",NA,36,"9037","Blue",4,1,3,1544,"7493","0.321",NA,27,"0.5","0.171","open","2022-02-02",NA
"106",579913,40,"M",3,"Uneducated","Married","80-120K",29,"3616","Blue",3,2,3,1151,"2465","0.687",820,21,"0.75","0.318","closed","2022-02-02",0
"107",828914,58,"M",4,"Graduate","Married","60-80K",36,"14607","Blue",3,2,2,1480,"13127","0.346",1393,38,"2.31","0.101","open","2022-02-02",0
"108",913445,45,"M",4,"Graduate","Married","60-80K",34,"2731","Blue",6,2,3,1868,"863","0.533",3915,66,"0.65","0.684","open","2022-02-02",0
"109",940598,37,"F",2,"Graduate","Single","40-60K",24,"2573","Blue",4,1,4,1280,"1293","0.718",NA,81,"0.841","0.497","open","2022-02-02",1
"110",357958,60,"M",0,"Uneducated","Married",NA,55,"6479","Blue",6,1,2,1393,"5086","0.468",1618,47,"0.958","0.215","open","2022-02-02",0
"111",836611,NA,"M",2,"Unknown","Married","80-120K",36,"2514","Blue",6,2,1,1845,"669","0.683",3696,71,"0.614","0.734","open","2022-02-02",0
"112",175871,57,"M",1,"High School","Married","80-120K",53,"25058","Blue",3,2,4,1710,"23348","0.613",2053,55,"0.528","0.068","open","2022-02-02",0
"113",328386,57,"F",3,"High School","Single","below 40K",46,"2298","Blue",1,2,2,1540,"758","0.708",5154,81,"0.976","0.67","open","2022-02-02",1
"114",247473,41,"M",1,"High School","Single","80-120K",36,"12084","Blue",6,2,3,1638,"10446","0.695",4506,90,"0.957","0.136","open","2022-02-02",0
"115",766056,39,"F",2,"Uneducated","Married","below 40K",26,"3471","Blue",5,3,2,2517,"954","0.743",1771,34,"0.889","0.725","open","2022-02-02",1
"116",643730,39,"F",2,"High School","Single","below 40K",36,"5245","Blue",4,2,3,802,"4443","0.504",3648,74,"0.574","0.153","open","2022-02-02",1
"117",904556,46,"M",2,"College","Single","80-120K",41,"21526","Blue",4,2,0,2332,"19194","0.755",1313,37,"0.609","0.108","open","2022-02-02",0
"118",839987,55,"F",2,"Graduate","Married","Unknown",41,"3591","Blue",1,1,1,1760,"1831","0.507",NA,121,"0.754","0.49","open","2022-02-02",1
"119",899258,53,"M",2,"Graduate","Single","60-80K",47,"13848","Blue",6,3,0,1389,"12459","1.178",1773,38,"0.407","0.1","open","2022-02-02",0
"120",615563,50,"F",4,"High School","Married","below 40K",36,"2690","Blue",5,3,5,1614,"1076","0.513",2272,57,"0.541","0.6","closed","2022-02-02",1
"121",103463,35,"F",2,"Graduate","Married","40-60K",25,"1438.3","Blue",3,1,2,0,"1438.3","0.744",4434,73,"0.78","0","open","2022-02-02",1
"122",657685,NA,"M",1,"High School","Unknown","40-60K",43,"9060","Blue",2,1,3,0,"9060","0.775",14305,102,"0.645","0","open","2022-02-02",0
"123",131884,50,"M",1,"Graduate","Single","80-120K",43,"34516","Silver",6,3,3,432,"34084","0.807",9045,72,"1","0.013","closed","2022-02-02",0
"124",145667,NA,"M",1,"College","Married","60-80K",46,"10117","Blue",3,2,1,2242,"7875","0.662",1509,44,"0.467","0.222","open","2022-02-02",0
"125",423897,44,"F",2,"Graduate","Divorced","below 40K",25,"13138","Silver",2,2,2,0,"13138","0.546",3881,77,"0.791","0","open","2022-02-02",1
"126",572991,54,"M",2,"High School","Married","80-120K",38,"50940","Blue",6,3,4,2006,"3654","0.779",1569,39,"0.773","0.354","open","2022-02-02",0
"127",800387,61,"F",0,"Uneducated","Single","40-60K",55,"2214","Blue",6,1,2,2123,"91","0.64",4478,77,"0.791","0.959","open","2022-02-02",1
"128",393611,NA,"F",3,"Graduate","Married","below 40K",35,"1438.3","Blue",1,2,2,834,"604.3","0.635",4976,70,"0.842","0.58","open","2022-02-02",1
"129",235239,48,"F",2,"Doctorate","Divorced","Unknown",37,"4549","Blue",6,2,0,1313,"3236","0.777",4782,88,"0.66","0.289","open","2022-02-02",1
"130",663482,40,"F",1,"Uneducated","Married","below 40K",28,"3680","Blue",5,2,3,0,"3680","0.729",2725,41,"0.577","0","closed","2022-02-02",1
"131",651785,40,"M",2,"College","Married","40-60K",31,"3735","Gold",1,2,1,1474,"2261","0.798",15039,130,"0.757","0.395","open","2022-02-02",0
"132",582519,50,"M",5,"Uneducated","Married","120K and more",36,"13478","Blue",2,2,1,0,"13478","0.929",4738,56,"0.867","0","open","2022-02-02",0
"133",595329,43,"F",4,"Graduate","Unknown","below 40K",34,"1971","Blue",5,3,3,979,"992","1.024",5446,75,"0.974","0.497","open","2022-02-02",1
"134",217241,53,"M",3,"High School","Married","120K and more",36,"21178","Blue",3,1,3,1796,"19382","1.182",1872,59,"1.107","0.085","open","2022-02-02",0
"135",220944,40,NA,4,"Uneducated","Single","120K and more",36,"5773","Blue",4,3,2,2024,"3749","0.977",3732,71,"0.972","0.351","open","2022-02-02",NA
"136",897489,46,"M",2,"Unknown","Married","80-120K",36,"14164","Blue",6,1,2,1525,"12639","0.543",3749,59,"0.686","0.108","open","2022-02-02",0
"137",815034,40,"M",4,"Graduate","Married","60-80K",35,"9974","Blue",5,4,1,2185,"7789","0.852",4680,87,"0.673","0.219","open","2022-02-02",0
"138",664014,53,"F",1,"Unknown","Married","below 40K",36,"1472","Blue",2,2,3,1196,"276","1.24",4859,73,"0.973","0.812","open","2022-02-02",1
"139",652597,45,"F",4,"High School","Single","40-60K",29,"4595","Blue",3,2,1,1781,"2814","0.708",3746,68,"0.545","0.388","open","2022-02-02",1
"140",593078,59,"M",0,"College","Married","below 40K",49,"4250","Blue",3,3,3,1095,"3155","0.947",1174,27,"0.8","0.258","open","2022-02-02",0
"141",161558,40,"F",1,"Graduate","Married","Unknown",29,"8398","Blue",5,1,3,1892,"6506","0.861",1489,29,"0.526","0.225","open","2022-02-02",1
"142",540259,40,"M",3,"Unknown","Married","60-80K",27,"9026","Blue",6,2,4,2312,"6714","0.561",2229,37,"0.762","0.256","open","2022-02-02",0
"143",334313,48,"M",3,"Graduate","Married","60-80K",37,"34516","Gold",5,1,2,2429,"32087","0.742",3205,57,"0.727","0.07","open","2022-02-02",0
"144",557827,37,"F",3,"Unknown","Single","Unknown",29,"8318","Blue",3,2,2,1945,"6373","1.487",3676,77,"1.139","0.234","open","2022-02-02",1
"145",358595,51,"F",2,"College","Married","below 40K",25,"3042","Blue",4,3,3,0,"3042","0.578",4781,79,"0.756","0","open","2022-02-02",1
"146",146166,40,"F",3,"Uneducated","Single","below 40K",30,"1625","Blue",5,1,2,912,"713","0.877",3968,73,"0.698","0.561","open","2022-02-02",1
"147",461200,44,"M",3,"Graduate","Married","120K and more",32,"34516","Blue",4,2,2,1344,"33172","0.523",4795,92,"0.673","0.039","open","2022-02-02",0
"148",812760,42,"M",4,"Doctorate","Married","80-120K",27,"31864","Blue",5,3,4,0,"31864","1.009",NA,35,"0.75","0","open","2022-02-02",0
"149",592386,54,"F",3,"Uneducated","Single","below 40K",36,"4542","Blue",5,4,2,1355,"3187","0.48",4011,70,"0.556","0.298","open","2022-02-02",1
"150",481462,39,"M",1,"Unknown","Single","40-60K",33,"2088","Blue",3,3,4,975,"1113","1.144",2866,59,"0.735","0.467","closed","2022-02-02",0
"151",869379,58,"F",2,"Uneducated","Married","below 40K",45,"1942","Blue",3,3,4,1536,"406","0.615",NA,38,"0.407","0.791","open","2022-02-02",1
"152",513322,40,"M",3,"Graduate","Single","40-60K",32,"2526","Blue",5,1,2,2303,"223","0.836",3596,69,"0.568","0.912","open","2022-02-02",0
"153",655116,35,"F",1,"College","Unknown","Unknown",29,"1438.3","Blue",4,3,3,966,"472.3","0.871",5249,81,"0.761","0.672","open","2022-02-02",1
"154",684883,48,"M",5,"Graduate","Single","40-60K",38,"4446","Blue",2,3,3,0,"4446","0.963",8753,76,"4.745","0","closed","2022-02-02",0
"155",775597,44,"F",3,"Uneducated","Single","below 40K",35,"1438.3","Blue",5,2,2,0,"1438.3","0.978",3966,57,"0.781","0","open","2022-02-02",1
"156",708027,32,"M",3,"College","Unknown","80-120K",36,"15412","Blue",3,5,2,0,"15412","0.589",3993,73,"0.659","0","open","2022-02-02",0
"157",954335,53,"F",2,"Graduate","Single","Unknown",49,"6074","Blue",4,2,3,0,"6074","0.697",4303,77,"0.674","0","open","2022-02-02",1
"158",423959,56,"F",4,"High School","Single",NA,36,"8881","Blue",3,1,3,2145,"6736","0.705",2027,49,"0.815","0.242","open","2022-02-02",1
"159",861139,53,"F",2,"College","Married","below 40K",43,"2160","Blue",2,1,3,2057,"103","0.858",4518,93,"0.788","0.952","open","2022-02-02",1
"160",717372,26,"M",0,"Graduate","Married","below 40K",36,"9916","Blue",5,2,4,0,"9916","0.793",3477,65,"0.667","0","open","2022-02-02",0
"161",972052,37,"F",2,"High School","Married",NA,26,"2946","Blue",3,2,3,2517,"429","0.841",NA,89,"0.78","0.854","open","2022-02-02",1
"162",610154,42,"M",3,"Graduate","Single","40-60K",30,"8960","Blue",6,2,2,1054,"7906","0.414",1488,26,"0.368","0.118","open","2022-02-02",0
"163",996865,53,"M",1,"Unknown","Married","120K and more",48,"27792","Blue",3,2,3,2083,"1005","0.633",10927,40,"0.538","0.675","open","2022-02-02",0
"164",109547,62,"F",0,"Doctorate","Single",NA,50,"2936","Blue",6,3,5,326,"2610","0.935",2692,29,"0.526","0.111","closed","2022-02-02",1
"165",819746,41,"F",3,"High School","Married","below 40K",30,"3280","Blue",4,4,2,2327,"953","0.784",4268,84,"1","0.709","open","2022-02-02",1
"166",936629,44,"F",1,"Graduate","Unknown","below 40K",32,"1780","Blue",3,3,3,1338,"442","0.966",4268,87,"0.673","0.752","open","2022-02-02",1
"167",956848,47,"F",2,"Graduate","Married","Unknown",36,"18799","Blue",1,3,2,2517,"16282","0.813",2315,52,"0.625","0.134","closed","2022-02-02",1
"168",144509,45,"M",2,"Unknown","Single","60-80K",26,"32349","Silver",6,3,2,1630,"30719","0.646",1343,41,"0.519","0.05","open","2022-02-02",0
"169",115514,52,"F",4,"High School","Single","Unknown",36,"9078","Blue",5,3,3,1194,"7884","0.745",4458,87,"0.812","0.132","open","2022-02-02",1
"170",560137,38,"F",1,"Graduate","Single","40-60K",36,"2358","Blue",4,2,2,1965,"393","0.614",4922,80,"3","0.833","open","2022-02-02",1
"171",995119,46,"F",4,"High School","Married","below 40K",34,"5387","Blue",6,1,3,1133,"4254","0.652",4374,76,"0.49","0.21","open","2022-02-02",1
"172",355564,54,"M",3,"Graduate","Single","80-120K",38,"29200","Blue",4,2,1,1310,"27890","1.092",3042,73,"1.028","0.045","open","2022-02-02",0
"173",265664,49,"M",4,"Unknown","Married","80-120K",44,"12174","Blue",2,3,3,1361,"10813","1.048",14743,121,"0.729","0.112","open","2022-02-02",0
"174",376166,46,"M",3,"Graduate","Unknown","40-60K",34,"2259","Blue",3,6,1,1346,"913","0.813",54215,88,"0.517","0.596","open","2022-02-02",0
